id,quiz,userid,grade,timemodified
184,7,37,7.61905,1720349409
185,36,19,7.50000,1720350232
186,8,37,6.66667,1720350856
187,30,59,6.00000,1720351682
188,37,19,10.00000,1720354587
189,39,19,10.00000,1720354903
190,40,19,10.00000,1720355940
191,32,59,3.57143,1720357149
192,27,35,10.00000,1720358031
193,36,25,10.00000,1720358615
194,41,19,10.00000,1720358685
195,28,35,8.00000,1720359100
196,37,25,10.00000,1720359180
197,42,19,10.00000,1720359368
198,39,25,10.00000,1720359804
199,29,35,8.66667,1720359774
200,1,19,8.88889,1720359882
201,40,25,5.00000,1720359884
202,31,35,6.92308,1720360741
203,2,19,5.38462,1720361029
204,8,32,3.33333,1720361120
205,33,42,7.36842,1720361926
206,32,35,6.42857,1720364819
207,9,37,8.00000,1720364872
208,1,41,8.88889,1720365889
209,2,41,8.46154,1720367199
210,33,35,5.78947,1720367511
211,40,42,10.00000,1720367835
212,34,59,8.46154,1720368641
213,35,59,100.00000,1720369016
214,34,35,9.23077,1720369593
215,36,59,2.50000,1720369830
216,37,59,10.00000,1720370281
217,38,59,6.66667,1720371533
218,39,59,10.00000,1720371864
219,35,35,100.00000,1720374590
220,36,35,10.00000,1720374854
221,37,35,10.00000,1720375197
222,38,35,10.00000,1720375937
223,39,35,6.66667,1720376206
224,40,35,7.50000,1720376536
225,41,35,10.00000,1720377054
226,42,35,10.00000,1720377247
227,24,35,6.25000,1720381015
228,20,35,3.75000,1720381220
229,19,35,9.95025,1720381321
230,14,35,4.97512,1720381527
231,3,41,7.77778,1720383633
232,15,35,10.00000,1720384657
233,16,35,2.50000,1720384833
234,17,35,4.00000,1720385027
235,21,35,8.33333,1720385498
236,18,35,8.33333,1720385741
237,22,35,6.66667,1720386056
238,10,19,3.00000,1720386098
239,13,35,10.00000,1720386170
240,26,35,7.50000,1720386488
241,30,35,6.00000,1720386645
242,4,41,7.77778,1720386771
243,11,35,6.21212,1720386987
244,10,35,7.00000,1720387145
245,5,41,6.36364,1720387184
246,9,35,6.00000,1720387297
247,8,35,3.33333,1720387453
248,7,35,7.61905,1720387632
249,6,41,7.27273,1720387768
250,6,35,5.45455,1720387818
251,5,35,4.54545,1720387965
252,4,35,6.66667,1720388145
253,7,41,7.61905,1720388176
254,3,35,6.66667,1720388285
255,8,41,10.00000,1720388800
256,9,41,9.50000,1720389180
257,10,41,9.00000,1720390084
258,10,37,7.00000,1720390276
259,11,41,5.30303,1720390784
260,26,41,9.16667,1720391625
261,13,41,10.00000,1720391994
262,22,41,8.00000,1720392317
263,23,41,6.00000,1720395172
264,1,35,7.22222,1720413350
265,23,32,3.00000,1720422127
266,22,32,5.33333,1720422522
267,13,32,10.00000,1720422768
268,18,32,10.00000,1720423196
269,21,32,10.00000,1720423420
270,15,32,10.00000,1720423807
271,17,32,8.00000,1720424233
272,16,32,5.00000,1720424818
273,19,32,4.97512,1720426408
274,16,25,2.50000,1720430043
275,32,41,6.42857,1720432377
276,34,41,8.46154,1720432756
277,31,41,8.46154,1720433715
278,22,37,0.66667,1720435538
279,27,37,8.33333,1720439314
280,28,37,8.66667,1720439867
281,26,26,10.00000,1720440544
